tema,vibe,pergunta,indicador,M1,M2,M3,M4
1 - Informações sobre o Coronavírus,,Q2.  Você sabe o que é o Coronavírus (COVID-19)?,Sabem o que é o Coronavírus (COVID-19),100.00,100.00,100.00,100.00
1 - Informações sobre o Coronavírus,,Q2.  Você sabe o que é o Coronavírus (COVID-19)?,Não sabem o que é o Coronavírus (COVID-19),0.00,0.00,0.00,0.00
1 - Informações sobre o Coronavírus,,Q3. Você sabe quais são os sintomas do Coronavírus (COVID-19 )?,Conhecem todos os sintomas do Coronavírus (COVID-19 ),43.65,41.78,38.99,39.88
1 - Informações sobre o Coronavírus,,Q3. Você sabe quais são os sintomas do Coronavírus (COVID-19 )?,Conhecem a maior parte dos sintomas do Coronavírus (COVID-19 ),54.58,56.30,59.36,59.00
1 - Informações sobre o Coronavírus,,Q3. Você sabe quais são os sintomas do Coronavírus (COVID-19 )?,Não conhecem os sintomas do Coronavírus (COVID-19 ),1.78,1.93,1.65,1.38
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q4. Você está acompanhando o aumento no número de casos de infestação pelo coronavírus, que se iniciou na China e que agora já está em todo o mundo?",Estão acompanhando o aumento no número de casos de infestação pelo coronavírus,95.30,91.33,91.10,89.35
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q4. Você está acompanhando o aumento no número de casos de infestação pelo coronavírus, que se iniciou na China e que agora já está em todo o mundo?",Não estão acompanhando o aumento no número de casos de infestação pelo coronavírus,4.70,8.68,8.90,10.65
1 - Informações sobre o Coronavírus,INFOSTESIA,Q5.  Com qual frequência você acompanha/busca informações sobre os casos de coronavírus (COVID-19)?,Acompanham/buscam informações sobre os casos de coronavírus (COVID-19) mais de uma vez por dia,51.40,36.03,32.67,27.70
1 - Informações sobre o Coronavírus,INFOSTESIA,Q5.  Com qual frequência você acompanha/busca informações sobre os casos de coronavírus (COVID-19)?,Acompanham/buscam informações sobre os casos de coronavírus (COVID-19) pelo menos uma vez por dia,35.15,39.45,39.52,39.98
1 - Informações sobre o Coronavírus,INFOSTESIA,Q5.  Com qual frequência você acompanha/busca informações sobre os casos de coronavírus (COVID-19)?,Acompanham/buscam informações sobre os casos de coronavírus (COVID-19) 4 a 6 vezes por semana,4.65,6.80,7.25,7.73
1 - Informações sobre o Coronavírus,INFOSTESIA,Q5.  Com qual frequência você acompanha/busca informações sobre os casos de coronavírus (COVID-19)?,Acompanham/buscam informações sobre os casos de coronavírus (COVID-19) 3 a 1 vez por semana,3.80,7.25,8.95,10.15
1 - Informações sobre o Coronavírus,INFOSTESIA,Q5.  Com qual frequência você acompanha/busca informações sobre os casos de coronavírus (COVID-19)?,Acompanham/buscam informações sobre os casos de coronavírus (COVID-19) menos de uma vez por semana,1.68,4.38,5.52,6.98
1 - Informações sobre o Coronavírus,INFOSTESIA,Q5.  Com qual frequência você acompanha/busca informações sobre os casos de coronavírus (COVID-19)?,Não tem buscado informações sobre o coronavírus,3.33,6.10,6.10,7.48
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se preparados ",0.00,10.92,10.94,11.09
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se informados",0.00,35.37,33.71,32.24
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se seguros",0.00,5.91,5.64,5.81
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se confusos",0.00,18.15,20.58,20.79
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se impotentes",0.00,35.26,39.20,36.95
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se esperançosos",0.00,30.50,28.89,29.14
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), sentem-se conformados",0.00,8.57,7.80,8.91
1 - Informações sobre o Coronavírus,INFOSTESIA,"Q7 (ADICIONADA ONDA 5). Quando você busca informações a respeito do Coronavírus (COVID-19) , quais das frases abaixo refletem a maneira como você se sente?","Quando buscam informações sobre o Coronavírus (COVID-19 ), não sei sabem como se sentem",0.00,3.84,3.49,3.80
